feat_group,uids,user,category
1,"[2686, 2686, 2686, 2686, 2706, 2695, 2702, 2702, 2682, 2689, 2687, 2691, 2688, 2688, 2688, 2688, 2688, 2688, 2697, 4118, 4120, 4120, 4120, 4120, 4113]",354471f893df6b8e,05175ca42d439154
2,[16117],354471f893df6b8e,234f5b297d040799
3,[4115],354471f893df6b8e,05175ca42d439154
4,"[4579, 4579, 4579, 4579, 4580, 4580, 4580, 4580, 4580, 4580, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4578, 4578, 4578, 4578, 4578]",354471f893df6b8e,539ab0ba840e7c3c
5,"[3755, 3756, 3756, 3756, 3756, 3753, 3753, 3754, 3752]",354471f893df6b8e,05175ca42d439154
6,"[12787, 12787, 12787, 12787, 12787, 12798]",354471f893df6b8e,4666a5ef3fd7fce2
7,[2710],354471f893df6b8e,05175ca42d439154
8,"[12793, 12793, 12793, 12783, 12783, 12783, 12783, 12783, 12783, 12783, 12792, 12792, 12792, 12792, 12792, 12792, 12789, 12789, 12789, 12789, 12789, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12784, 12784, 12784, 12784, 12784, 12791, 12791, 12791, 12791, 12786, 12785, 12785, 12785, 12785, 12785, 12782, 12782, 12782, 12782, 12782, 12788, 12788, 12788, 12788, 12788, 12788, 12788, 12788, 12788, 12796, 12796, 12796, 12796, 12796, 12796, 12796, 12796, 12796, 12790, 12790, 12790, 12790, 12790, 12790, 12790]",354471f893df6b8e,4666a5ef3fd7fce2
9,"[2713, 2711, 2711, 2711, 2711, 2715, 2714]",354471f893df6b8e,05175ca42d439154
10,[16609],354471f893df6b8e,b4da587bd53c2798
11,[2860],354471f893df6b8e,05175ca42d439154
12,[16610],354471f893df6b8e,f21ee6c6a2748f30
13,"[12928, 12926, 12926, 12926, 12931, 12931, 12931, 12931, 12930, 12930, 12930, 12930]",354471f893df6b8e,4666a5ef3fd7fce2
14,"[2865, 2851, 2869, 2857, 3775, 3776, 3776, 3776, 3768, 3768, 3768, 3767]",354471f893df6b8e,05175ca42d439154
15,"[16612, 16612, 16611]",354471f893df6b8e,d2d50a76eb851a63
16,"[3774, 3780, 3773, 3779, 4167, 4163, 4169, 8275, 8274, 3772]",354471f893df6b8e,05175ca42d439154
17,"[12933, 12933]",354471f893df6b8e,4666a5ef3fd7fce2
18,[2873],354471f893df6b8e,05175ca42d439154
19,[16613],354471f893df6b8e,234f5b297d040799
20,"[3692, 3697, 3697, 3648, 3698, 3695, 3703, 3878, 3878, 3889, 3888, 3886, 3885, 3882]",354471f893df6b8e,05175ca42d439154
21,"[4560, 4560, 4560, 4560, 4560, 4560, 4561, 4561, 4561, 4561, 4561, 4561, 4561, 4561, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558]",354471f893df6b8e,539ab0ba840e7c3c
22,"[2397, 2396, 2398, 2398, 2409, 2392, 2411, 2411, 2405, 2385, 2385, 2385, 3898, 3900, 3900, 3900, 3899]",354471f893df6b8e,05175ca42d439154
23,"[4562, 4562, 4562, 4564, 4564, 4564, 4564, 4564, 4563, 4563, 4563, 4563, 4563]",354471f893df6b8e,539ab0ba840e7c3c
24,"[3707, 3707]",354471f893df6b8e,05175ca42d439154
25,"[12370, 12367, 12365, 12371]",354471f893df6b8e,2dda54d9825f7a28
26,"[10780, 10782, 10786]",354471f893df6b8e,28129a435df1ebe9
27,"[3708, 3708, 3708, 3708, 3708, 3708, 2418, 2418]",354471f893df6b8e,05175ca42d439154
28,"[12450, 12450, 12450, 12450]",354471f893df6b8e,4666a5ef3fd7fce2
29,[2414],354471f893df6b8e,05175ca42d439154
30,"[13312, 13313, 13313, 13313]",354471f893df6b8e,19c7471ac6706742
31,"[12443, 12447]",354471f893df6b8e,4666a5ef3fd7fce2
32,"[3654, 3654, 3654, 3655, 3655, 3655, 3666, 3666, 3666, 3666, 3667, 3667, 3665, 3665, 3785, 3785, 4201]",354471f893df6b8e,05175ca42d439154
33,"[4581, 4583, 4583, 4583, 4583, 4583, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582, 4582]",354471f893df6b8e,539ab0ba840e7c3c
34,"[2435, 2435, 3965, 3963, 3968, 3968, 3968, 3966, 3656, 3716, 3716, 3715, 3969]",354471f893df6b8e,05175ca42d439154
35,"[4570, 4570, 4570, 4570, 4568, 4568, 4568, 4568, 4569, 4569, 4569, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4565, 4567, 4567, 4566, 4566, 4566, 4566, 4566, 4566, 4566, 4566, 4566, 4566, 4566]",354471f893df6b8e,539ab0ba840e7c3c
36,"[2475, 2480, 2479, 2481, 2478, 2473, 2484, 3977]",354471f893df6b8e,05175ca42d439154
37,[14312],354471f893df6b8e,234f5b297d040799
38,"[3979, 3979, 3979]",354471f893df6b8e,05175ca42d439154
39,"[12380, 12380, 12380, 12380]",354471f893df6b8e,2dda54d9825f7a28
40,[2485],354471f893df6b8e,05175ca42d439154
41,"[14314, 14316, 14320, 14317]",354471f893df6b8e,61028e5283a36260
42,"[3980, 3984, 3978]",354471f893df6b8e,05175ca42d439154
43,"[12378, 12379, 12383, 12383, 12382, 12382, 12382, 12382, 12382]",354471f893df6b8e,2dda54d9825f7a28
44,[17192],354471f893df6b8e,234f5b297d040799
45,"[4215, 4214]",354471f893df6b8e,05175ca42d439154
46,"[4591, 4591, 4595, 4595, 4595, 4595, 4595, 4595, 4595, 4595, 4595, 4595, 4595, 4595, 4594, 4594, 4597, 4597, 4597, 4596, 4596, 4592, 4592, 4592, 4592, 4592, 4587, 4587, 4587, 4587, 4587, 4587, 4588, 4588, 4585, 4585, 4586, 4586, 4586, 4593, 4593, 4593, 4593, 4593, 4593, 4593, 4593, 4590, 4590, 4590, 4590, 4590, 4590, 4590, 4590, 4590, 4590, 4590, 4589, 4589, 4589, 4589, 4584, 4584, 4584, 4584, 4584, 4584, 4584, 4584, 4584, 4584, 4584]",354471f893df6b8e,539ab0ba840e7c3c
47,"[2964, 2965, 2963, 2963, 2963, 2963, 2963, 2966, 3792, 3793, 3793, 3793, 3671]",354471f893df6b8e,05175ca42d439154
48,[17193],354471f893df6b8e,bb366a0ceca4c003
49,"[3814, 3814, 3814, 3811, 3811, 3811, 3811]",354471f893df6b8e,05175ca42d439154
50,"[17225, 17220, 17196, 17212, 17227, 17209, 17230, 17222, 17221, 17208, 17232, 17205]",354471f893df6b8e,26df87f09104ab84
51,[3800],354471f893df6b8e,05175ca42d439154
52,[17204],354471f893df6b8e,26df87f09104ab84
53,[3807],354471f893df6b8e,05175ca42d439154
54,"[17217, 17224, 17224]",354471f893df6b8e,26df87f09104ab84
55,"[3803, 3726, 3720, 3727, 3727, 3723, 3723, 3734, 3734, 3722]",354471f893df6b8e,05175ca42d439154
56,[14981],354471f893df6b8e,234f5b297d040799
57,"[14983, 14983, 14983, 14983]",354471f893df6b8e,20fd90a7872ed611
58,"[3732, 3735, 3721, 3733, 3724]",354471f893df6b8e,05175ca42d439154
59,"[14990, 14991, 14991, 14989]",354471f893df6b8e,2032b74fbe47eacc
60,"[3730, 3729]",354471f893df6b8e,05175ca42d439154
61,[14994],354471f893df6b8e,234f5b297d040799
62,"[3728, 3731, 3731]",354471f893df6b8e,05175ca42d439154
63,[15001],354471f893df6b8e,5637ffa20b65e5aa
64,[2599],354471f893df6b8e,05175ca42d439154
65,"[15021, 15014, 15008, 15024]",354471f893df6b8e,5637ffa20b65e5aa
66,"[15030, 15029, 15025]",354471f893df6b8e,20fd90a7872ed611
67,"[15041, 15041, 15049, 15038, 15040, 15040, 15040, 15040, 15050, 15043, 15043, 15046]",354471f893df6b8e,5637ffa20b65e5aa
68,"[4027, 4025, 4025, 4035, 4030, 4042, 4037, 4037, 4037, 4037]",354471f893df6b8e,05175ca42d439154
69,"[12385, 12388, 12390, 12390, 12390, 12387]",354471f893df6b8e,2dda54d9825f7a28
70,"[4032, 4032, 4032, 4028, 4048]",354471f893df6b8e,05175ca42d439154
71,[15053],354471f893df6b8e,20fd90a7872ed611
72,"[4050, 4052, 4057, 4057, 4228, 4254, 4244, 4244, 4244, 4244, 4255, 4255, 4268, 4243, 4264, 4264, 4235, 4225, 4240, 4231, 4231]",354471f893df6b8e,05175ca42d439154
73,"[4602, 4602, 4602, 4602, 4602, 4603, 4603, 4603, 4603, 4603, 4603, 4603, 4603, 4603, 4598, 4598, 4598, 4598, 4598, 4598, 4599, 4599, 4599, 4600, 4600, 4600, 4600, 4600, 4600, 4600, 4600]",354471f893df6b8e,539ab0ba840e7c3c
74,[11192],354471f893df6b8e,28129a435df1ebe9
75,"[4274, 4279, 3820, 3816, 3816]",354471f893df6b8e,05175ca42d439154
76,"[17428, 17428, 17428, 17427, 17427, 17424]",354471f893df6b8e,234f5b297d040799
77,"[3818, 3818, 3817, 2996, 2996, 2994, 2997, 2997]",354471f893df6b8e,05175ca42d439154
78,"[12403, 12406, 12406, 12402, 12402, 12402]",354471f893df6b8e,2dda54d9825f7a28
79,[2999],354471f893df6b8e,05175ca42d439154
80,"[17432, 17437, 17437]",354471f893df6b8e,167b397db80f4b22
81,"[3006, 3007, 3004, 3004, 3004, 3004]",354471f893df6b8e,05175ca42d439154
82,[10895],354471f893df6b8e,28129a435df1ebe9
83,[15703],354471f893df6b8e,5637ffa20b65e5aa
84,"[2634, 2618]",354471f893df6b8e,05175ca42d439154
