feat_group,uids,user,domain
1,"[2686, 2686, 2686, 2686, 2706, 2695, 2702, 2702, 2682, 2689, 2687, 2691, 2688, 2688, 2688, 2688, 2688, 2688, 2697]",354471f893df6b8e,8f155e77c8af923f
2,"[4118, 4120, 4120, 4120, 4120, 4113]",354471f893df6b8e,975af2aeb582ca21
3,[16117],354471f893df6b8e,de005655d95fe208
4,[4115],354471f893df6b8e,975af2aeb582ca21
5,"[4579, 4579, 4579, 4579, 4580, 4580, 4580, 4580, 4580, 4580, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4577, 4578, 4578, 4578, 4578, 4578]",354471f893df6b8e,3837f5e3ea677a7d
6,"[3755, 3756, 3756, 3756, 3756, 3753, 3753, 3754, 3752]",354471f893df6b8e,1ab5b1a785b0f697
7,"[12787, 12787, 12787, 12787, 12787, 12798]",354471f893df6b8e,d544e57fff1938ca
8,[2710],354471f893df6b8e,8f155e77c8af923f
9,"[12793, 12793, 12793, 12783, 12783, 12783, 12783, 12783, 12783, 12783, 12792, 12792, 12792, 12792, 12792, 12792, 12789, 12789, 12789, 12789, 12789, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12795, 12784, 12784, 12784, 12784, 12784, 12791, 12791, 12791, 12791, 12786, 12785, 12785, 12785, 12785, 12785, 12782, 12782, 12782, 12782, 12782, 12788, 12788, 12788, 12788, 12788, 12788, 12788, 12788, 12788, 12796, 12796, 12796, 12796, 12796, 12796, 12796, 12796, 12796, 12790, 12790, 12790, 12790, 12790, 12790, 12790]",354471f893df6b8e,d544e57fff1938ca
10,"[2713, 2711, 2711, 2711, 2711, 2715, 2714]",354471f893df6b8e,8f155e77c8af923f
11,[16609],354471f893df6b8e,5f44d8dc178e62ee
12,[2860],354471f893df6b8e,8f155e77c8af923f
13,[16610],354471f893df6b8e,e70e415e85b06302
14,"[12928, 12926, 12926, 12926, 12931, 12931, 12931, 12931, 12930, 12930, 12930, 12930]",354471f893df6b8e,d544e57fff1938ca
15,"[2865, 2851, 2869, 2857]",354471f893df6b8e,8f155e77c8af923f
16,"[3775, 3776, 3776, 3776, 3768, 3768, 3768, 3767]",354471f893df6b8e,1ab5b1a785b0f697
17,"[16612, 16612, 16611]",354471f893df6b8e,be4e881f2faed88d
18,"[3774, 3780, 3773, 3779]",354471f893df6b8e,1ab5b1a785b0f697
19,"[4167, 4163, 4169]",354471f893df6b8e,975af2aeb582ca21
20,"[8275, 8274]",354471f893df6b8e,9a0932b0bb735a84
21,[3772],354471f893df6b8e,1ab5b1a785b0f697
22,"[12933, 12933]",354471f893df6b8e,d544e57fff1938ca
23,[2873],354471f893df6b8e,8f155e77c8af923f
24,[16613],354471f893df6b8e,038a640ddc54c75f
25,"[3692, 3697, 3697]",354471f893df6b8e,1ab5b1a785b0f697
26,[3648],354471f893df6b8e,6e197848296b2f4d
27,"[3698, 3695, 3703]",354471f893df6b8e,1ab5b1a785b0f697
28,"[3878, 3878, 3889, 3888, 3886, 3885, 3882]",354471f893df6b8e,975af2aeb582ca21
29,"[4560, 4560, 4560, 4560, 4560, 4560, 4561, 4561, 4561, 4561, 4561, 4561, 4561, 4561, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558, 4558]",354471f893df6b8e,3837f5e3ea677a7d
30,"[2397, 2396, 2398, 2398, 2409, 2392, 2411, 2411, 2405, 2385, 2385, 2385]",354471f893df6b8e,8f155e77c8af923f
31,"[3898, 3900, 3900, 3900, 3899]",354471f893df6b8e,975af2aeb582ca21
32,"[4562, 4562, 4562, 4564, 4564, 4564, 4564, 4564, 4563, 4563, 4563, 4563, 4563]",354471f893df6b8e,3837f5e3ea677a7d
33,"[3707, 3707]",354471f893df6b8e,1ab5b1a785b0f697
34,"[12370, 12367, 12365, 12371]",354471f893df6b8e,d90e69994602d55b
35,"[10780, 10782, 10786]",354471f893df6b8e,5ff45759b5f7a4ec
36,"[3708, 3708, 3708, 3708, 3708, 3708]",354471f893df6b8e,1ab5b1a785b0f697
37,"[2418, 2418]",354471f893df6b8e,8f155e77c8af923f
38,"[12450, 12450, 12450, 12450]",354471f893df6b8e,d544e57fff1938ca
39,[2414],354471f893df6b8e,8f155e77c8af923f
40,"[13312, 13313, 13313, 13313]",354471f893df6b8e,1a512f186a396615
41,"[12443, 12447]",354471f893df6b8e,d544e57fff1938ca
42,"[3654, 3654, 3654, 3655, 3655, 3655, 3666, 3666, 3666, 3666, 3667, 3667, 3665, 3665]",354471f893df6b8e,6e197848296b2f4d
43,"[3785, 3785]",354471f893df6b8e,1ab5b1a785b0f697
44,[4201],354471f893df6b8e,975af2aeb582ca21
